Date,Open,High,Low,Close,Adj Close,Volume
2023-10-23,1.360000,1.400000,1.300000,1.300000,1.300000,11586200
2023-10-24,1.300000,1.390000,1.300000,1.370000,1.370000,7815400
2023-10-25,1.350000,1.390000,1.340000,1.340000,1.340000,6490800
2023-10-26,1.350000,1.400000,1.310000,1.400000,1.400000,9891500
2023-10-27,1.370000,1.390000,1.320000,1.330000,1.330000,11137700
2023-10-30,1.350000,1.530000,1.350000,1.490000,1.490000,18749300
2023-10-31,1.450000,1.560000,1.400000,1.460000,1.460000,21482700
2023-11-01,1.380000,1.400000,0.970000,0.980000,0.980000,60632300
2023-11-02,1.030000,1.060000,0.780000,1.060000,1.060000,120487000
2023-11-03,1.040000,1.170000,1.030000,1.120000,1.120000,26523700
2023-11-06,1.180000,1.350000,1.150000,1.320000,1.320000,39065500
2023-11-07,1.280000,1.440000,1.260000,1.300000,1.300000,20849800
2023-11-08,1.350000,1.390000,1.250000,1.300000,1.300000,15627000
2023-11-09,1.350000,1.360000,1.170000,1.180000,1.180000,15149300
2023-11-10,1.190000,1.210000,1.110000,1.190000,1.190000,12258500
2023-11-13,1.180000,1.230000,1.130000,1.150000,1.150000,10620200
2023-11-14,1.210000,1.340000,1.190000,1.300000,1.300000,21285100
2023-11-15,1.300000,1.410000,1.300000,1.380000,1.380000,14369000
2023-11-16,1.330000,1.380000,1.280000,1.380000,1.380000,11713100
2023-11-17,1.390000,1.400000,1.320000,1.350000,1.350000,8318400
2023-11-20,1.330000,1.400000,1.310000,1.380000,1.380000,8998900
2023-11-21,1.360000,1.370000,1.290000,1.320000,1.320000,8766200
2023-11-22,1.330000,1.380000,1.280000,1.290000,1.290000,9971700
2023-11-24,1.300000,1.320000,1.250000,1.260000,1.260000,4947200
2023-11-27,1.260000,1.300000,1.210000,1.230000,1.230000,10293000
2023-11-28,1.240000,1.240000,1.160000,1.180000,1.180000,15176600
2023-11-29,1.180000,1.360000,1.180000,1.350000,1.350000,22497500
2023-11-30,1.310000,1.350000,1.230000,1.310000,1.310000,15668500
2023-12-01,1.300000,1.500000,1.240000,1.480000,1.480000,25940100
2023-12-04,1.450000,1.590000,1.420000,1.560000,1.560000,17009700
2023-12-05,1.550000,1.580000,1.510000,1.550000,1.550000,11863100
2023-12-06,1.540000,1.640000,1.460000,1.480000,1.480000,14936800
2023-12-07,1.470000,1.510000,1.410000,1.440000,1.440000,13016900
2023-12-08,1.440000,1.540000,1.430000,1.490000,1.490000,8346300
2023-12-11,1.490000,1.550000,1.350000,1.370000,1.370000,13416500
